orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,A. Pre-primary and Primary School Census Form - Actual reports,A. Pre-primary and Primary School Census Form - Expected reports,datasetuid,datasets_name,A. Junior Secondary School Census Form - Actual reports,A. Junior Secondary School Census Form - Expected reports,A. Adult and Non Formal Education (IQS/IQTE) Census Form - Actual reports,A. Adult and Non Formal Education (IQS/IQTE) Census Form - Expected reports,A. Private School Census Form - Actual reports,A. Private School Census Form - Expected reports,A. Science and Technical Colleges/ Vocational Education Census Form - Actual reports,A. Science and Technical Colleges/ Vocational Education Census Form - Expected reports,A. Senior Secondary School Census Form - Actual reports,A. Senior Secondary School Census Form - Expected reports
fg Nigeria,kd Kaduna State,kd Kachia Local Government Area,Unknown Ward,PRY 2Nd Ecwa Comprehensive Nursery School Katari (1908332251),wvgcXi1v8Sb,PRY 2Nd Ecwa Comprehensive Nursery School Katari (1908332251),1908332251,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kachia Local Government Area,kd Kachia Ward,PRY Abdu Bako Academy (KD12300227),FFWZxLrYvHC,PRY Abdu Bako Academy (KD12300227),KD12300227,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kachia Local Government Area,kd Kachia Ward,PRY Abdu Bako Academy (KD12300291),O2pNbT7PDGX,PRY Abdu Bako Academy (KD12300291),KD12300291,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zaria Local Government Area,kd Kwarbai B Ward,PRY Abdulkarim Lgea Primary School (1923024120),MFx47tQS8Ub,PRY Abdulkarim Lgea Primary School (1923024120),1923024120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Giwa Local Government Area,kd Shika Ward,PRY Abubakar Adam (KD12300360),ve1mq5v6cyW,PRY Abubakar Adam (KD12300360),KD12300360,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Zaria Local Government Area,kd Gyellesu Ward,PRY Abubakar Maccido Primary School Zaria (1923029120),unRAs8QaogD,PRY Abubakar Maccido Primary School Zaria (1923029120),1923029120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kubau Local Government Area,Unknown Ward,PRY Academy Standard Nur And Primary (1915342211),cDaKANLPlcp,PRY Academy Standard Nur And Primary (1915342211),1915342211,,0.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna South Local Government Area,kd Makera Ward,PRY Acs Artillery (1) (1910001120),gyY10RY9Nuv,PRY Acs Artillery (1) (1910001120),1910001120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna South Local Government Area,kd Makera Ward,PRY Acs Artillery (2) (1910002120),tgZiHKOsPDT,PRY Acs Artillery (2) (1910002120),1910002120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
fg Nigeria,kd Kaduna State,kd Kaduna South Local Government Area,kd Badiko Ward,PRY Acs Comilla 44 Barracks (1910003120),WGSkD57Wcb5,PRY Acs Comilla 44 Barracks (1910003120),1910003120,,1.0,1.0,MLTLNUmvS8r,A. Pre-primary and Primary School Census Form,,,,,,,,,,
